mid,cpu_cap,ram_cap,cpu_alloc,ram_alloc,cpu_req,ram_req,cpu_remain,ram_remain
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
0,2,4,1930,2873,1760,2607,170,266
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,567,871,5348,5304
